Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,BGMSound,Note
,Note,,เก็บตุ๊กตาตอนที่ไม่มีมีด,,,,,,,,
,,,,,,,,,,,
Ch3_D03_01_01,อเมเลีย,Amelia_normal,อ่า...เหมือนข้างในจะมีของบางอย่าง!!!,Ch3_D03_02_01,,,,Dialogue,,,
Ch3_D03_02_01,อเมเลีย,Amelia_angry,อือออออออ!!!!,Ch3_D03_03_01,,,,Dialogue,,,
Ch3_D03_03_01,อเมเลีย,Amelia_disgusting,..แฮ่ก...แฮ่ก...ไม่ขาด....,Ch3_D03_04_01,,,,Dialogue,,,
Ch3_D03_04_01,อเมเลีย,Amelia_normal,ต้องหาอะไรบางอย่างที่สามารถตัดตุ๊กตาได้...,Ch3_D03_05_01,,,,Dialogue,,,
Ch3_D03_05_01,อเมเลีย,Amelia_normal,ลองสำรวจแถวนี้ก่อนว่ามีของที่ใช้ได้ไหม...,,,,,Dialogue,,,
,,,,,,,,,,,
,Note,,เปิดห้องโดยที่ไม่กุญแจ..,,,,,,,,
,,,,,,,,,,,
Ch3_D04_01,อเมเลีย,Amelia_normal,รู้สึกว่าประตูบานนี้จะต้องใช้ คีย์การ์ด สินะ...,Ch3_D04_02,,,,Dialogue,,,
Ch3_D04_02,อเมเลีย,Amelia_normal,น่าจะอยู่ที่ไหนสักแห่งในนี้..,,,,,Dialogue,,,
,,,,,,,,,,,
,Note,,เก็บตุ๊กตาที่มีปักไว้,,,,,,,,
,,,,,,,,,,,
Ch3_D05_01,อเมเลีย,CutSceneS3_1,อืม...มีดนี้น่าจะสามารถใช้ผ่าตุ๊กตาที่อยู่บนที่นั่งคนดูได้นะ...,Ch3_D04_02,,,,CutScene,knife,,
Ch3_D05_02,อเมเลีย,CutSceneS3_1,เอ๋...เสียงอะไร...,Ch3_D04_03,,,,CutScene,tvbroken,,
Ch3_D05_03,อเมเลีย,CutSceneS3_1,เหมือนมาจากบนทีวืกล้องวงจรปิดเลยแฮะ....อ่า..นั้นมันตุ๊กตาที่ฉันต้องไปเอานี่!!,Ch3_D04_04,,,,CutScene,,,
Ch3_D05_04,อเมเลีย,CutSceneS3_2,แล้วทำไม..กล้องภาพถึงเริ่มสั่นละ...,Ch3_D04_05,,,,CutScene,,,
Ch3_D05_05,อเมเลีย,CutSceneS3_3,อะ!! กล้องเป็นอะไรนะ!! กล้องเสียงหรอ.....,Ch3_D04_06,,,,CutScene,,,
Ch3_D05_06,ผู้จมปลัก,CutSceneS3_4,ในที่สุดก็เจอตัวสักที...ไอ้สารเลว!!!,Ch3_D04_07,,,,CutScene,heavypush,,
Ch3_D05_07,อเมเลีย,CutSceneS3_4,กรื๊ดดดด!!!!,Ch3_D04_08,,,,CutScene,,,
Ch3_D05_08,ผู้จมปลัก,CutSceneS3_5,แก!! บังอาจมายุ่งกับน้องสาวฉัน!!  แกตายแน่!!,Ch3_D04_09,,,,CutScene,,,
Ch3_D05_09,ผู้จมปลัก,CutSceneS3_5,เอาน้องสาวฉันคืนมานะ!!! ไอ้สารเลว!!!!,Ch3_D04_10,,,,CutScene,,,
Ch3_D05_10,ผู้จมปลัก,CutSceneS3_5,ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า ฆ่า,Ch3_D04_11,,,,CutScene,,,
Ch3_D05_11,อเมเลีย,CutSceneS3_3,แย่ละ!! ได้ยินเสียงวิ่ง!!! ต้องรีบหาที่ซ่อน,,,,,CutScene,mirror,,
,,,,,,,,,,,
,note,,พยายามออกห้อง,,,,,,,,
,,,,,,,,,,,
Ch3_D06_01,อเมเลีย,Amelia_disgusting,ไม่ได้!! เด็กคนนั้นกำลังวิ่งมาทางนี้!! ต้องรีบหาที่ซ่อน!!!,,,,,Dialogue,,,
,,,,,,,,,,,
,note,,เก็บตุ๊กตาหมีที่มีบัตร,,,,,,,,
,,,,,,,,,,,
Ch3_D07_01,อเมเลีย,Amelia_disgusting,ขอโทษนะเจ้าหมี....แต่มันจำเป็นจริงๆ...,Ch3_D07_02,,,,Dialogue,,,
Ch3_D07_02,อเมเลีย,Amelia_angry,ฮืบ!!!...,Ch3_D07_03,,,,Dialogue,knife,,
Ch3_D07_03,อเมเลีย,Amelia_smile,เจอแล้ว!! คีย์การ์ด!!,Ch3_D07_04,,,,Dialogue,,,
Ch3_D07_04,อเมเลีย,Amelia_normal,บางที่คีย์การ์ดนี้น่าจะสามารถเปิดประตูที่ชั้น 3 ได้!!,,,,,Dialogue,,,
,,,,,,,,,,,
,note,,เดินไปเก็บเหรียญ (ภาพดำ),,,,,,,,
,,,,,,,,,,,
Ch3_D08_01,อเมเลีย,CutSceneOp3_11,อึก!!! อีกแล้ว!!..ความรู้..สึก...บะ..แบบ..นี้..,Ch3_D08_02,,,,CutScene,,rain,
Ch3_D08_02,อเมเลีย,CutSceneOp3_11,.....,Ch3_D08_03,,,,CutScene,,,
Ch3_D08_03,???,CutSceneOp3_11,..ฮือ..ฮือ.....,Ch3_D08_04,,,,CutScene,,,
Ch3_D08_04,???,CutSceneOp3_11,ไม่เป็นไรนะเคท...พี่สาวคนนี้จะอยู่ข้างเธอเสมอ...,Ch3_D08_05,,,,CutScene,,,
Ch3_D08_05,???,CutSceneOp3_11,ฮือ..ตะ..แต่ว่า...พี่แคลร์..นะ..หนู...หนูกลัวจังเลย....,Ch3_D08_06,,,,CutScene,,,
Ch3_D08_06,???,CutSceneOp3_11,ถะ..ถ้าวันไหน...พี่หายไป..หนูคง....,Ch3_D08_07,,,,CutScene,,,
Ch3_D08_07,???,CutSceneOp3_11,ไม่่มีทางนะเคท!! ต่อให้โลกล่มสลามหรืออะไรก็ตาม..พี่ก็จะกอดเธอไว้แบบนี้เสมอ..ตลอดไป...,Ch3_D08_08,,,,CutScene,,,
Ch3_D08_08,???,CutSceneOp3_11,อ้า....อะ..อุ่น..จังเลย....,Ch3_D08_09,,,,CutScene,,,
Ch3_D08_09,???,CutSceneOp3_11,พะ..พี่....แคลร์....,Ch3_D08_10,,,,CutScene,,,
Ch3_D08_10,???,CutSceneOp3_11,.....,Ch3_D08_11,,,,CutScene,,,
Ch3_D08_11,???,CutSceneOp3_11,..,Ch3_D08_12,,,,CutScene,,,
Ch3_D08_12,???,CutSceneOp3_11,ฮืก..อะ...,Ch3_D08_13,,,,CutScene,,,
Ch3_D08_13,???,CutSceneOp3_11,อ๊ากกกกก!!! ทำไม!! ทำไมถึงเกิดเรื่องแบบนี้ขึ้นตลอดเลย!!,Ch3_D08_14,,,,CutScene,,,
Ch3_D08_14,???,CutSceneOp3_11,ทำไมถึงต้องพรากทุกอย่างไปจากฉันตลอดเลย!!,Ch3_D08_15,,,,CutScene,,,
Ch3_D08_15,???,CutSceneOp3_11,ครอบครัว  พ่อ  แม่่ หรือแม้แต่สิ่งสำคัญสุดท้ายของฉัน....แกก็เอาไป...,Ch3_D08_16,,,,CutScene,walk,,
Ch3_D08_16,???,CutSceneOp3_11,ทำไม..ทำไม...ชีวิตของฉัน..ถึงได้พังขนาดนี้กัน....,Ch3_D08_17,,,,CutScene,,,
Ch3_D08_17,???,CutSceneOp3_11,..ถ้า..พระเจ้ามีจริง..ได้โปรด...ขอแค่สักครั้งหนึ่ง...ได้โปรด..,Ch3_D08_18,,,,CutScene,,,
Ch3_D08_18,???,CutSceneOp3_11,คืนน้องสาวฉันมา...,Ch3_D08_19,,,,CutScene,fallwater,,
Ch3_D08_19,???,CutSceneOp3_11,ได้โปรด...,Ch3_D08_20,,,,CutScene,,,
Ch3_D08_20,???,CutSceneOp3_11,.....,Ch3_D08_21,,,,CutScene,,,
Ch3_D08_21,ผู้อำนวยการ,Directorglasses_smileeye,หืม..นี้สาวน้อยทำไมถึงนั่งร้องไห้อยู่ล่ะ?...,Ch3_D08_22,,,,Dialogue,,,
Ch3_D08_22,???,None,.....,Ch3_D08_23,,,,Dialogue,,,
Ch3_D08_23,ผู้อำนวยการ,Directorglasses_normall,อืม..อย่างงี้นี้เอง..ถ้าอย่างงั้นสนใจมากับฉันไหม..สาวน้อย...,Ch3_D08_24,,,,Dialogue,,,
Ch3_D08_24,???,None,.....,Ch3_D08_25,,,,Dialogue,,,
Ch3_D08_25,ผู้อำนวยการ,Directorglasses__smile,ถ้าเธอมาทำงานกับฉันละก็...ฉันจะช่วยให้ความปรารถนาทุกอย่างของเธอเป็นจริงเอง...,Ch3_D08_26,,,,Dialogue,,,
Ch3_D08_26,???,None,..ความปรารถนา...,Ch3_D08_27,,,,Dialogue,,,
Ch3_D08_27,ผู้อำนวยการ,Directorglasses__smile,อืม ความร่ำรวย เงินทอง ชื่อเสียง หรือแม้แต่...,Ch3_D08_28,,,,Dialogue,,,
Ch3_D08_28,ผู้อำนวยการ,Directorglasses_meme, การที่จะได้อยู่กับน้องสาวตลอดไป ,Ch3_D08_29,,,,Dialogue,,,
Ch3_D08_29,???,None,..น้อง..สาว..ตลอด...ไป..,Ch3_D08_30,,,,Dialogue,,,
Ch3_D08_30,ผู้อำนวยการ,Directorglasses_smileeye,ใช่แล้ว ได้เจอน้องสาวอีกครั้ง ได้พูดคุยด้วยกันอีกครั้ง ยิ้มและมีความสุขไปด้วยกันอีกครั้ง...,Ch3_D08_31,,,,Dialogue,,,
Ch3_D08_31,???,None,อะ..ฮือ....อยากเจออีกครั้ง...อยากคุยด้วยกันอีกครั้ง....,Ch3_D08_32,,,,Dialogue,,,
Ch3_D08_32,ผู้อำนวยการ,Directorglasses__smile,มาสิ..มาช่วยทำให้ความฝันของพวกเราทั้งคู่เป็นจริง...,Ch3_D08_33,,,,Dialogue,,,
Ch3_D08_33,???,None,สัญญานะคุณลุง...,Ch3_D08_34,,,,Dialogue,,,
Ch3_D08_34,ผู้อำนวยการ,Directorglasses_angel,อ่า..สัญญาด้วยชีวิตนี้เลย...,Ch3_D08_35,,,,Dialogue,,,
Ch3_D08_35,None,None,.....,Ch3_D08_36,,,,Dialogue,,,
Ch3_D08_36,None,None,.....,Ch3_D08_37,,,,Dialogue,,,
Ch3_D08_37,None,None,..,Ch3_D08_38,,,,Dialogue,,,
Ch3_D08_38,None,None,.,,,,,Dialogue,,Map3,
,,,,,,,,,,,
,note,,หลังออกมาจากการเก็บเหรียญเจอพี่สาวครั้งสุดท้าย,,,,,,,,
,,,,,,,,,,,
Ch3_D09_01,ผู้จมปลัก,MOSTER2_2,ทำไม...ทำไมถึงชอบมีคนมาทำลายความาสงบสุขของพวกเราตลอด,Ch3_D09_02,,,,Dialogue,Monster_spawner,,
Ch3_D09_02,อเมเลีย,Amelia_disgusting,!!!,Ch3_D09_03,,,,Dialogue,,,
Ch3_D09_03,ผู้จมปลัก,MOSTER2,ทั้งที่พวกเราแค่ต้องการอยู่ชีวิตที่สงบสุขแค่นั้น!!!,Ch3_D09_04,,,,Dialogue,,,
Ch3_D09_04,ผู้จมปลัก,MOSTER2,เลิกมายุ่่งกับชีวิตพวกเราได้แล้ว!!!,Ch3_D09_05,,,,Dialogue,,,
Ch3_D09_05,อเมเลีย,Amelia_shocking,ต้องรีบหนี!!,Ch3_D09_06,,,,Dialogue,,,
Ch3_D09_06,ผู้จมปลัก,MOSTER2_2,เอาน้องสาวฉันขึ้นมานะ!!!!!,,,,,Dialogue,,,
,,,,,,,,,,,
,Note,,หลังออกมาได้,,,,,,,,
,,,,,,,,,,,
Ch3_D10_01,เด็กสาว,Director's daughter_smile,เป็นไงบ้างพี่สาว โรงแสดงละครสัตว์ สนุกไหมคะ?,Ch3_D10_02,,,,Dialogue,,,
Ch3_D10_02,อเมเลีย,Amelia_angry,สนุกก็แย่ละ!!,Ch3_D10_03,,,,Dialogue,,,
Ch3_D10_03,เด็กสาว,Director's daughter_smile,ฮ่าๆ...แต่พี่สาวก็ใกล้จะออกไปจากที่นี้ได้แล้วนะ..,Ch3_D10_04,,,,Dialogue,,,
Ch3_D10_04,เด็กสาว,Director's daughter_normal,อีกแค่เหรียญเดียวกับฉีกใบสัญญา..พี่สาวก็สามารถที่จะออกไปจากที่นี้ได้แล้วนะ..,Ch3_D10_05,,,,Dialogue,,,
Ch3_D10_05,เด็กสาว,Amelia_normal,ขอบคุณที่ช่วยเตือนนะ...แต่ฉันเดินทางมาขนาดนี้แล้ว...,Ch3_D10_06,,,,Dialogue,,,
Ch3_D10_06,อเมเลีย,Amelia_normal,เธอจะไม่บอกจริงหรอๆว่าทำไมเธอถึงช่วยฉัน....,Ch3_D10_07,,,,Dialogue,,,
Ch3_D10_07,เด็กสาว,Director's daughter_normal,...,Ch3_D10_08,,,,Dialogue,,,
Ch3_D10_08,เด็กสาว,Director's daughter_normal,อืมม..ก็เพื่อผลประโยชน์ทั้งสองฝ่ายนะคะ,Ch3_D10_09,,,,Dialogue,,,
Ch3_D10_09,เด็กสาว,Director's daughter_smile,พี่ได้กลับไปโลกเดิม..ส่่วนหนูก็ได้อิสระ...,Ch3_D10_10,,,,Dialogue,,,
Ch3_D10_10,อเมเลีย,Amelia_normal,อิสระ?,Ch3_D10_11,,,,Dialogue,,,
Ch3_D10_11,เด็กสาว,Director's daughter_smile,ก็ตามนั้นละค่ะ...หนูอยากเห็นโลกภายนอกบ้าง..,Ch3_D10_12,,,,Dialogue,,,
Ch3_D10_12,เด็กสาว,Director's daughter_normal,วิวทิวทัศน์เวลาที่พระอาทิตย์ขึ้นมาจะสวยขนาดไหน...รสชาติเค็มของน้ำทะเลเป็นแบบไหน....,Ch3_D10_13,,,,Dialogue,,,
Ch3_D10_13,เด็กสาว,Director's daughter_normal,มีเรื่องมากมายที่อยากจะรู้ไปหมดเลยคะ...,Ch3_D10_14,,,,Dialogue,,,
Ch3_D10_14,เด็กสาว,Director's daughter_smile,และหวังว่ามือคู่นี้จะได้สัมผัสความจริงสักครั้ง,Ch3_D10_15,,,,Dialogue,,,
Ch3_D10_15,เด็กสาว,Director's daughter_normal,....,Ch3_D10_16,,,,Dialogue,,,
Ch3_D10_16,เด็กสาว,Director's daughter_smile,ถ้าอย่างงั้นขอให้พี่สาวโชคดีนะค่ะ!!,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
