Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,BGMSound,Note
Ch2_D03_01,อเมเลีย,CutSceneS2_1,ที่นี้สินะ โบราณสถาน ราวกับว่าเป็นซากอารยธรรมเลยแฮะ....,Ch2_D03_02,,,,CutScene,,Map2,
Ch2_D03_02,อเมเลีย,CutSceneS2_1,เหมือนเคยได้ยินเกี่ยวกับสถานที่แห่งนี้เลยนะว่าเป็นเมืองที่ถูกจมลงไปสู่ก้นทะเล,Ch2_D03_03,,,,CutScene,,,
Ch2_D03_03,อเมเลีย,CutSceneS2_1,เพราะการลบหลู่แก่เทพเจ้าในตำนานของชนพื้นเมือง...,Ch2_D03_04,,,,CutScene,,,
Ch2_D03_04,อเมเลีย,CutSceneS2_1,พวกรูปปั้นพวกนี้ก็คือเหล้าประชาชนที่โดนคำสาปจากพระเจ้าให้เป็นก้อนหินละนะ...,Ch2_D03_05,,,,CutScene,,,
Ch2_D03_05,อเมเลีย,CutSceneS2_1,.....,Ch2_D03_06,,,,CutScene,,,
Ch2_D03_06,อเมเลีย,CutSceneS2_1,รีบตามหาเหรียญและรีบออกไปกันเถอะ...,,,,,CutScene,,,
,,,,,,,,,,,
,Note,,เก็บแผนที่,,,,,,,,
,,,,,,,,,,,
Ch2_D04_01,อเมเลีย,Amelia_shocking,อะ..อะไร!?...เกิดอะไรขึ้น!!,Ch2_D04_02,,,,Dialogue,earthquake,,
Ch2_D04_02,อเมเลีย,Amelia_shocking,ทำไมพวกรูปปั้นไม่ถึงขยับได้ล่ะ!!,Ch2_D04_03,,,,Dialogue,heartbeat,,
Ch2_D04_03,อเมเลีย,Amelia_shocking,ไม่ดีแล้ว!! ต้องรีบตามหาเหรียญและออกไปจากที่นี้!!,Ch2_D04_04,,,,Dialogue,heartbeat,,
Ch2_D04_04,อเมเลีย,Amelia_shocking,รอยเลือด...ใช่แล้ว เด็กสาวคนนั้นเคยเตือนเกี่ยวกับรอยเลือดไว้,,,,,Dialogue,heartbeat,,
,,,,,,,,,,,
,Note,,เมื่อเก็บเหรียญ ขึ้นหน้าจอดำ,,,,,,,,
,,,,,,,,,,,
Ch2_D05_01,อเมเลีย,CutSceneOp3_11,!!!!!-------,Ch2_D05_02,,,,Dialogue,,Map4,
Ch2_D05_02,บรรยาย,CutSceneOp3_11,ภาพของอเมเลียทุกอย่างกลับมืดลง..เหลือแค่ความว่างเปล่า....,Ch2_D05_03,,,,Dialogue,,,
Ch2_D05_03,บรรยาย,CutSceneOp3_11,....,Ch2_D05_04,,,,Dialogue,stab,,
Ch2_D05_04,ผู้อำนวยการ,CutSceneOp3_11,...ฮะ...ฮ่าๆ...,Ch2_D05_05,,,,Dialogue,,,
Ch2_D05_05,ผู้อำนวยการ,Director_smileeye,..มากกว่านี้อีก..เหล่าความกลัวทั้งหลายจนมารวมมากกว่านี้....,Ch2_D05_06,,,,Dialogue,,,
Ch2_D05_06,ผู้อำนวยการ,Director_smileeye,....ถ้านี้สำเร็จละก็...ความฝันของพวกเราทั้งสองก็จะเป็นจริงก็ได้..ที่รัก....,Ch2_D05_07,,,,Dialogue,,,
Ch2_D05_07,ลูกผู้อำนวยการ,Director's daughter_smile,....นี้คุณพ่อ..คุณพ่อกำลังพยายามทำอะไรอยู่กันแน่ค่ะ....,Ch2_D05_08,,,,Dialogue,stab,,
Ch2_D05_08,ผู้อำนวยการ,Director_angel,..หืม...แกมาทำอะไรที่นี้กัน...,Ch2_D05_09,,,,Dialogue,,,
Ch2_D05_09,ลูกผู้อำนวยการ,Director's daughter_normal,หนูก็แค่แวะมาดูเฉยๆนะ...เห็นท่าทางว่าคุณกำลังหมกมุ่นอะไรบ้างอย่างอยู่เลย...,Ch2_D05_10,,,,Dialogue,,,
Ch2_D05_10,ผู้อำนวยการ,Director_angel,ก็แค่..ลองเอาวิญญาณที่ไร้ที่ไป  มาให้ท่านเลวีอาธานนะ..แค่นั้น,Ch2_D05_11,,,,Dialogue,,,
Ch2_D05_11,ผู้อำนวยการ,Director_angel,แล้วก็อีกอย่าง...ฉันไม่ใช่ พ่อ ของแกอีกด้วย..เพราะงั้นก็อย่าได้มาเรียกแบบนั้นอีก....,Ch2_D05_12,,,,Dialogue,,,
Ch2_D05_12,ลูกผู้อำนวยการ,Director's daughter_smilebad,....ค่ะ..ท่านผู้อำนวยการ....,Ch2_D05_13,,,,Dialogue,,,
Ch2_D05_13,ผู้อำนวยการ,Director_angel,หึ...รีบไปไกลๆได้แล้ว...,Ch2_D05_14,,,,Dialogue,,,
Ch2_D05_14,ลูกผู้อำนวยการ,Director's daughter_smile,....ถ้าอย่างงั้นก็ขออนุญาติ..กลับไปก่อนค่ะ,Ch2_D05_15,,,,Dialogue,,,
Ch2_D05_15,ผู้อำนวยการ,Director_angel,..ทำไมแกถึงได้เกิดมากันนะ..ถ้าไม่มีแกละก็...ฉันกับเธอก็คง....,Ch2_D05_16,,,,Dialogue,,,
Ch2_D05_16,ผู้อำนวยการ,Director_angel,..รอก่อนนะที่รัก.....,Ch2_D05_17,,,,Dialogue,,,
Ch2_D05_17,None,None,....,,,,,Dialogue,,Map2,
,,,,,,,,,,,
,Note,,หลังจากเดินออกมาได้,,,,,,,,
,,,,,,,,,,,
Ch2_D06_01,อเมเลีย,Amelia_disgusting,แฮ่ก..แฮ่ก...,Ch2_D06_02,,,,Dialogue,,Forest_Night,
Ch2_D06_02,เด็กสาว,Director's daughter_normal,ว้าว!! ไม่น่าเชื่อว่าพี่สาวจะมีชีวิตรอดออกมานะเนี้ย!!,Ch2_D06_03,,,,Dialogue,,,
Ch2_D06_03,เด็กสาว,Director's daughter_smile,แสดงว่าพี่สาวก็เก่งใช่ได้เหมือนกันนะเนี้ย...ถึงว่า....,Ch2_D06_04,,,,Dialogue,,,
Ch2_D06_04,เด็กสาว,Director's daughter_smilebad,..ทำไมท่านถึงสนใจพี่สาวขนาดนี้...,Ch2_D06_05,,,,Dialogue,,,
Ch2_D06_05,อเมเลีย,Amelia_disgusting,แฮ่ก..แฮ่ก...หา...ว่าไงนะ?..ฉันไม่ได้ยิน..,Ch2_D06_06,,,,Dialogue,,,
Ch2_D06_06,เด็กสาว,Director's daughter_normal,เปล่า...แต่พี่ก็ได้เหรียญมาแล้วสินะ,Ch2_D06_07,,,,Dialogue,,,
Ch2_D06_07,เด็กสาว,Director's daughter_smilebad,นี้คือ เหรียญทองคำแห่งเทพเจ้า เป็นเหรียญที่กล่าวกันว่าเป็นเหรียญที่เกิดจากความกลัวที่มีต่อพระเจ้า....,Ch2_D06_08,,,,Dialogue,,,
Ch2_D06_08,เด็กสาว,Director's daughter_smile,..แต่ก็ไม่น่าแปลกนะ...ก็ผู้คนมักจะหวาดกลัวสิ่งที่มองไม่เห็น...,Ch2_D06_09,,,,Dialogue,,,
Ch2_D06_09,อเมเลีย,Amelia_disgusting,อ่า..จริงด้วย..เมื่อกี้หลังจากที่เก็บเหรียญเหมือนฉันจะเห็นกับได้ยินเสียงของเธอเลย....,Ch2_D06_10,,,,Dialogue,,,
Ch2_D06_10,เด็กสาว,Director's daughter_normal,....,Ch2_D06_11,,,,Dialogue,,,
Ch2_D06_11,เด็กสาว,Director's daughter_smile,อืม ก็ตามทีพี่ได้ยินนั้นแหละ...หนูเป็นลูกสาวของผู้อำนวยการที่นี้นะ...,Ch2_D06_12,,,,Dialogue,,,
Ch2_D06_12,เด็กสาว,Director's daughter_smile,แต่ว่าคุณพ่อดูเหมือนไม่ชอบหนูสักเท่าไหร่นะคะ แฮะๆ...,Ch2_D06_13,,,,Dialogue,,,
Ch2_D06_13,เด็กสาว,Director's daughter_normal,......,Ch2_D06_14,,,,Dialogue,,,
Ch2_D06_14,เด็กสาว,Director's daughter_smile,อืม...หนูว่าพี่สาวน่าจะเดินทางไปที่ต่อไปได้แล้วนะคะ...เดินไปทางขวาของพี่ก็เจอกับ โรงละครสัตว์ แล้ว...,Ch2_D06_15,,,,Dialogue,,,
Ch2_D06_15,เด็กสาว,Director's daughter_smilebad,โชคดีนะพี่สาว...,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,Note,,คุยกับหญิงสาวอีกครั้ง,,,,,,,,
,,,,,,,,,,,
Ch2_D07_01,เด็กสาว,Director's daughter_smile,หนูว่าพี่สาวน่าจะเดินทางไปที่ต่อไปได้แล้วนะคะ...เดินไปทางขวาของพี่ก็เจอกับ โรงละครสัตว์ แล้ว...,Ch2_D07_02,,,,Dialogue,girllaughter,,
Ch2_D07_02,เด็กสาว,Director's daughter_smile,โชคดีนะพี่สาว...,,,,,Dialogue,,,
