Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,Note
,Note,,เดินไปอยู่จุดที่หนูอยู่,,,,,,,
,,,,,,,,,,
Ch1_D06_01,อเมเลีย,Amelia_normal,อ๊ะ!! เจ้าหนูนี้มันคาบกุญแจอยู่นี้,Ch1_D06_02,,,,Dialogue,,
Ch1_D06_02,,None,กรรรรร!!,Ch1_D06_03,,,,Dialogue,threaten,เสียงขู่สัตว์
Ch1_D06_03,อเมเลีย,Amelia_disgusting,ฮึก!! ค...คือว่าขอกุญแจ....ได้ไหมคะ?....,Ch1_D06_04,,,,Dialogue,,
Ch1_D06_04,,None,กรรรรร!!!!,Ch1_D06_05,,,,Dialogue,threaten,เสียงขู่สัตว์ พร้อมกับหนูที่โดดหายไปในความมืด
Ch1_D06_05,อเมเลีย,Amelia_shocking,ฮือออ!! ไม่ไหวแฮะเจ้าหนูนี้มันน่ากลัวเกินไปแล้ว,Ch1_D06_06,,,,Dialogue,,
Ch1_D06_06,อเมเลีย,Amelia_disgusting,ต...ต้องหาอะไรสักอย่างมาให้เจ้าหนูนี้คายกุญแจอออกมา...,,,,,Dialogue,,
,,,,,,,,,,
,Note,,ได้รับเนื้อปลา,,,,,,,
,,,,,,,,,,
Ch1_D07_01,อเมเลีย,Amelia_normal,อืม!! ประมาณนี้น่าจะพอล่อเจ้าหนูให้คายกุญแจออกมาได้,Ch1_D07_02,,,,Dialogue,,
Ch1_D07_02,อเมเลีย,Amelia_normal,รีบไปหาเจ้าหนูนั้นดีกว่า...,,,,,Dialogue,,
,,,,,,,,,,
,Note,,พูดคุยกับเจ้าหนูตอนมีเนื้อปลา,,,,,,,
,,,,,,,,,,
Ch1_D08_01,อเมเลีย,Amelia_normal,น..นี้เจ้าหนูเนื้อปลา..ฉ่ําๆที่แก่ชอบ..,Ch1_D08_02,,,,Dialogue,,
Ch1_D08_02,,None,อเมเลียวางเนื้อปลาไว้ก่อนจะเดินถอยออกมา,Ch1_D08_03,,,,Dialogue,,
Ch1_D08_03,,None,กรร...,Ch1_D08_04,,,,Dialogue,threaten,
Ch1_D08_04,,None,เจ้าหนูนั้นคายกุญแจที่อยู่ในปาก่อนที่จะคาบเนื้อปลาที่วางไว้แล้ววิ่งหายไป,Ch1_D08_05,,,,Dialogue,,
Ch1_D08_05,อเมเลีย,Amelia_smile,อ๊ะ...ได้กุญแจแล้ว..ไหนดูสิว่าคือกุญแจอะไร.....,Ch1_D08_06,,,,Dialogue,,
Ch1_D08_06,อเมเลีย,Amelia_normal,"""VIP"" แสดงว่านี้จะเป็นกุญแจห้องโซนข้างบน..",Ch1_D08_07,,,,Dialogue,,
Ch1_D08_07,อเมเลีย,Amelia_disgusting,..น่าจะมีสักห้องที่เปิดด้วยกุญแจนี้ได้...หวังว่าจะเป็นอย่างงั้นนะ,,,,,Dialogue,,
,,,,,,,,,,
,Note,,เปิดห้อง vip,,,,,,,
,,,,,,,,,,
Ch1_D09_01,,None,แกร๊ก,Ch1_D09_02,,,,Dialogue,key,เสียงไขกุญแจ
Ch1_D09_02,อเมเลีย,Amelia_normal,อ๊ะ..ห้องนี้เปิดได้...ขอรบกวนหน่อยนะคะ...,Ch1_D09_03,,,,Dialogue,,
Ch1_D09_03,อเมเลีย,Amelia_disgusting,......ที่นี้มัน..ห้อง VIP จริงใช่ไหม..ทำไมถึงมีรูปปั้นแปลกๆอยู่ตรง...,Ch1_D09_04,,,,Dialogue,,วาร์ปมาห้อง Vip เสียงบรรยากาศทุกอย่างเงียบลงแบบกระทันหัน
Ch1_D09_04,อเมเลีย,Amelia_shocking,อ๊ะ!! ,Ch1_D09_05,,,,Dialogue,key,แกร๊ก เสียงล็อคประตู
Ch1_D09_05,,None,...ประตูไม่ขยับ..,Ch1_D09_06,,,,Dialogue,pullthedoor,เสียงพยายามดึงประตู ปึงๆ สัก 2 รอบ
Ch1_D09_06,อเมเลีย,Amelia_shocking,อ๊ากกก!!..อีกแล้ว..ไม่ขยับแม้แต่นิดเดียวใครมันเป็นคนทำแบบนี้กันเนี้ย....,Ch1_D09_07,,,,Dialogue,,
Ch1_D09_07,อเมเลีย,Amelia_disgusting,เอิ้อก..หวังว่าข้างหน้าจะไม่มีอะไรผิดปกตินะ....,,,,,Dialogue,,
,,,,,,,,,,
,Note,,เก็บเหรียญ,,,,,,,
,,,,,,,,,,
Ch1_D10_01,???,None,....,Ch1_D10_02,,,,Dialogue,bell,กริ๊ง เสียงเอฟเฟคเก็บเหรียญพร้อมกับเห
Ch1_D10_02,???,None,ข...ขอบคุณคุณ @#$% มากนะครับที่รับคนอย่างผมเข้ามาทำงาน,Ch1_D10_03,,,,Dialogue,,
Ch1_D10_03,???,None,ไม่เป็นไรครับ มนุษย์ด้วยกันก็ควรจะช่วยกันจริงไหมล่ะครับ,Ch1_D10_04,,,,Dialogue,,
Ch1_D10_04,???,None,ผมจะพยายามให้เต็มที่เลยครับ!! เพื่อให้คุ้มกับที่คุณเชื่อใจผม,Ch1_D10_05,,,,Dialogue,key,แกร๊ก เสียงล็อคประตู
Ch1_D10_05,???,None,.......งั้นก็รบกวนด้วยนะครับ คุณภารโรงคนใหม่,Ch1_D10_06,,,,Dialogue,pullthedoor, เสียงเปิดประตูไม่ออก
Ch1_D10_06,???,None,.....,Ch1_D10_07,,,,Dialogue,,
Ch1_D10_07,???,None,...,Ch1_D10_08,,,,Dialogue,,
Ch1_D10_08,???,None,..แค่กๆ!!....ท..ทำไมเราถึงมาอยู่ที่นี้กัน..ถ้าจำไม่ผิด..เด็ก...,Ch1_D10_09,,,,Dialogue,,
Ch1_D10_09,???,None,ใช่แล้ว!!! ไอ้เด็กเวรนั้น!! ! ,Ch1_D10_10,,,,Dialogue,,
Ch1_D10_10,???,None,บังอาจมาผลักเราลงน้ำได้!! อย่าให้เจอตัวนะ!! จะตีให้หลาบจำ!!...แค่กๆ..,Ch1_D10_11,,,,Dialogue,,
Ch1_D10_11,???,None,..แต่ว่า..ตอนนี้มันดึกขนาดแล้วงั้นหรือ...ช่วยไม่ได้ไว้พรุ่งนี้ค่อยหาเจ้าเด็กนั้นละกัน...,Ch1_D10_12,,,,Dialogue,,
Ch1_D10_12,???,None,........,Ch1_D10_13,,,,Dialogue,walk,เสียงเท้าเดิน 
Ch1_D10_13,???,None,......,Ch1_D10_14,,,,Dialogue,,
Ch1_D10_14,???,None,.....,Ch1_D10_15,,,,Dialogue,,
Ch1_D10_15,???,None,.....,Ch1_D10_16,,,,Dialogue,,เสียงเท้าเงียบลง..
Ch1_D10_16,???,None,...,Ch1_D10_17,,,,Dialogue,,
Ch1_D10_17,???,None,อ๊ากกกก!! ใครก็ได้ช่วยเหลือ!! ปิศาจ!! ปิศาจมันกำลังไล่มา!!!,Ch1_D10_18,,,,Dialogue,run,เสียงเท้าวิ่ง
Ch1_D10_18,???,None,อย่าเข้ามานัไอ้ปิศาจ!! ใครก็ได้ช่วยด้ว---,Ch1_D10_19,,,,Dialogue,,
Ch1_D10_19,???,None,เอื้อกกกก!! ขาฉันทำไมถึงได้มาเป็นตอนนี้!! ขยับสิไอ้ขาเวรนี้!!!,Ch1_D10_20,,,,Dialogue,,
Ch1_D10_20,???,None,โธ่เว้ยย!!! ฉันจะมาตายตอนนี้ไม่ได้!! ยังมีสิ่งที่ฉันต้องกลับไปหาอยู่!! อ๊ากกก!!,Ch1_D10_21,,,,Dialogue,,
Ch1_D10_21,???,None,ย..ยังมีแขนอยู่..ต้องคลานไปให้ถึงให้ได้ ,Ch1_D10_22,,,,Dialogue,,
Ch1_D10_22,???,None,อีก..นิดเดียว..อีก...นิดเดี่ยวเท่านั้น!!!...อ๊ะ!!...คุณ $%#@ ,Ch1_D10_23,,,,Dialogue,,
Ch1_D10_23,???,None,โชคดีชะมัด!! ช่วยผมด้วยคุณ…ปิศาจ.ม..มัน..,Ch1_D10_24,,,,Dialogue,,
Ch1_D10_24,???,None,!!!,Ch1_D10_25,,,,Dialogue,stab,เสียงมีดแทงหรืออะไรก็ได้
Ch1_D10_25,???,None,..ท..ทำ..ไม..คุณ..ถึง.....,Ch1_D10_26,,,,Dialogue,,
Ch1_D10_26,???,None,.....,Ch1_D10_27,,,,Dialogue,,
Ch1_D10_27,???,None,..,Ch1_D10_28,,,,Dialogue,,
Ch1_D10_28,???,None,.,Ch1_D10_29,,,,Dialogue,,
Ch1_D10_29,???,None,ขอบคุณสำหรับความพยายามครับ คุ ณ ภ า ร โ ร ง  ,Ch1_D10_30,,,,Dialogue,,
Ch1_D10_30,อเมเลีย,Amelia_shocking,!!!,Ch1_D10_31,,,,Dialogue,,ภาพกลับมาปัจจุบัน
Ch1_D10_31,อเมเลีย,Amelia_disgusting,ม..เมื่อกี้มันอะไร..เด็ก..ภารโรง..แลเวก็คุณ..อ๊ากก!! ปวดหัวจัง..,Ch1_D10_32,,,,Dialogue,,
Ch1_D10_32,อเมเลีย,Amelia_disgusting,..อึก..ทำไงก็นึกไม่ออก..แต่ความรู้สึกมัน....เหมือน....เคยพบเจอที่ไหนมาก่อน...,Ch1_D10_33,,,,Dialogue,,
Ch1_D10_33,อเมเลีย,Amelia_disgusting,บางที่อาจเป็นเด็กคนเดียวกันที่เราเคยเจอก็ได้...,Ch1_D10_34,,,,Dialogue,,
Ch1_D10_34,อเมเลีย,Amelia_disgusting,แต่ว่า...รีบเอาเหรียญแล้วออกไปจากที่นี้กันเถอะ..รู้สึกถึงลางสังหรณ์ไม่ดีเลย....,,,,,Dialogue,,
