Id;Character;CharacterImage;Dialogue;Chioce1;Chioce2;Choice1Text;Choice2Text;Type;Sound;Note
Ch4_D03_01;อเมเลีย;Director's daughter_smile;ได้ล่ะ!! ไหนดูสิว่าข้างในมีอะไรบ้าง..;Ch4_D03_02;;;;Dialogue;;
Ch4_D03_02;อเมเลีย;Director's daughter_smile;อืม...ไดอารี่..ของเลขา?..;Ch4_D03_03;;;;Dialogue;;
Ch4_D03_03;อเมเลีย;Director's daughter_smile;เอ๋!! เลขาของผู้อำนวยการอย่างงั้นหรอ!!;Ch4_D03_04;;;;Dialogue;;
Ch4_D03_04;อเมเลีย;Director's daughter_smile;.....;Ch4_D03_05;;;;Dialogue;;
Ch4_D03_05;อเมเลีย;Director's daughter_smile;นี้ไงรหัสผ่าน!! 1698 ..ถ้านำรหัสผ่านนี้ไปใส่ลิฟต์ฝั่งซ้ายละก็จะสามารถลงไปชั้นใต้ดินได้!!;;;;;Dialogue;;
;;;;;;;;;;
;;;;;;;;;;
;Note;;ลงไปครั้งแรก;;;;;;;
;;;;;;;;;;
Ch4_D04_01;อเมเลีย;Director's daughter_smile;ที่นี้คือ...อควาเรียมจริงๆอย่างงั้นหรอ....;Ch4_D04_02;;;;Dialogue;;
Ch4_D04_02;อเมเลีย;Director's daughter_smile;เหมือนกับห้องขังเลย..,และเหมือนได้ยินเสียงออกมาจากห้องขัง..;;;;;Dialogue;;
;;;;;;;;;;
;Note;;ฉีกสัญญา;;;;;;;
;;;;;;;;;;
Ch4_D05_01;อเมเลีย;Director's daughter_smile;บางที่นี้อาจจะเป็นใบสัญญาของผู้อำนวยการสินะ...;Ch4_D05_02;;;;CutScene;;
Ch4_D05_02;อเมเลีย;Director's daughter_smile;ลาก่อนนะคุณผู้อำนวยการ!!!;Ch4_D05_03;;;;CutScene;;
Ch4_D05_03;อเมเลีย;Director's daughter_smile;ฮืมม!!! เรียบ..ระ..;Ch4_D05_04;;;;CutScene;;
Ch4_D05_04;อเมเลีย;Director's daughter_smile;แผ่นดินไหวอย่างงั้นหรอ!! เกิดอะไรขึ้นเนี้ย!!;Ch4_D05_05;;;;CutScene;;
Ch4_D05_05;อเมเลีย;Director's daughter_smile;อ๊ากกก!!!...;Ch4_D05_06;;;;CutScene;;
Ch4_D05_06;อเมเลีย;Director's daughter_smile;...;Ch4_D05_07;;;;CutScene;;
Ch4_D05_07;อเมเลีย;Director's daughter_smile;ระ...รู้สึกเหมือนจะหยุดแล้วแฮะ..เกิดอะไรขึ้น...;Ch4_D05_08;;;;CutScene;;
Ch4_D05_08;ผู้อำนวยการ;Director's daughter_smile;เฮ้อ...ในที่สุดก็เกิดเรื่องแบบนี้ขึ้นจนได้สินะ..;Ch4_D05_09;;;;CutScene;;
Ch4_D05_09;อเมเลีย;Director's daughter_smile;เสียงแบบนี้มัน...ผู้อำนวยการ!!!;Ch4_D05_10;;;;CutScene;;
Ch4_D05_10;ผู้อำนวยการ;Director's daughter_smile;อีกแค่นิดเดียวแท้ๆ...ไอ้พวกปิศาจที่อุตสาห์เลี้ยงไว้..ใช้การไม่ได้สักตัว;Ch4_D05_11;;;;CutScene;;
Ch4_D05_11;ผู้อำนวยการ;Director's daughter_smile;ถ้้าฉันสามารถเข้ามาแทรกแซงได้ตั้งแต่แรกคงไม่เป็นแบบนี้!!;Ch4_D05_12;;;;CutScene;;
Ch4_D05_12;อเมเลีย;Director's daughter_smile;อะ..อย่าเข้ามานะ!!;Ch4_D05_13;;;;CutScene;;
Ch4_D05_13;ผู้อำนวยการ;Director's daughter_smile;ถ้าเป็นตอนนี้ละก็ยังพอทันก็ได้...;Ch4_D05_14;;;;CutScene;;
Ch4_D05_14;อเมเลีย;Director's daughter_smile;ขอโทษที่นะ..คุณหนู..;Ch4_D05_15;;;;CutScene;;
Ch4_D05_15;ผู้อำนวยการ;Director's daughter_smile;แต่ช่วยตายเพื่อความปรารถนาของฉันด้วย...;;;;;CutScene;;
;;;;;;;;;;
;;;;;;;;;;
;note;;เฟดดำวาร์ปออกมาเลยขี้เกียจให้ผู้เล่นเดินละ;;;;;;;
;;;;;;;;;;
Ch4_D06_01;เด็กสาว;Director's daughter_normal;รู้สึกว่าพี่สาวจะทำสำเร็จแล้วสินะ...ดูจากปฏิกิริยาของท่านเทพก็พอจะทราบแล้ว...;Ch4_D06_02;;;;Dialogue;;
Ch4_D06_02;เด็กสาว;Amelia_disgusting;เธอยังอยู่อีกอย่างงั้นหรือ!!..เราต้องรีบหนีไปกันได้แล้ว!!;Ch4_D06_03;;;;Dialogue;;
Ch4_D06_03;เด็กสาว;Director's daughter_normal;...;Ch4_D06_04;;;;Dialogue;;
Ch4_D06_04;เด็กสาว;Director's daughter_smile;ไม่ละพี่สาว..ไปก่่อนเลย..เดี๋ยวหนูตามไปที่หลัง...;Ch4_D06_05;;;;Dialogue;;
Ch4_D06_05;เด็กสาว;Amelia_disgusting;แต่ว่า!!;Ch4_D06_06;;;;Dialogue;;
Ch4_D06_06;เด็กสาว;Director's daughter_smile;ก่อนที่พี่จะสนใจหนู...พี่สาวสนใจตัวเองดีกว่าไหมคะเห็นว่าผู้อำนวยการกำลังตามตัวพี่สาวอยู่นี้...;Ch4_D06_07;;;;Dialogue;;
Ch4_D06_07;เด็กสาว;Director's daughter_normal;ในตอนนี้คุณพ่อนะกำลังโดนคำสาปย้อนกลับใส่ตัวเองเลยทำให้ตัวเองกลายเป็นปิศาจ;Ch4_D06_08;;;;Dialogue;;
Ch4_D06_08;เด็กสาว;Director's daughter_normal;นี้จะเป็นคำแนะนำสุดท้ายของหนูแล้วนะพี่สาว;Ch4_D06_09;;;;Dialogue;;
Ch4_D06_09;เด็กสาว;Director's daughter_normal;"""แม้ปิศาจที่สิงสู่ร่างกายของผู้อำนวยจะแข็งแกร่งมากเพียงใดก็ตาม.. """;Ch4_D06_10;;;;Dialogue;;
Ch4_D06_10;เด็กสาว;Director's daughter_smile;""" ก็ย่อมมีจุดอ่อนเสมอ..ผู้อำนวยการก็มีเช่นกัน... """;Ch4_D06_11;;;;Dialogue;;
Ch4_D06_11;เด็กสาว;Director's daughter_normal;""" นั้นก็คือ การมองเห็น เป็นข้อแลกเปลื่ยนที่ทำลายสัญญา.. """;Ch4_D06_12;;;;Dialogue;;
Ch4_D06_12;เด็กสาว;Director's daughter_normal;""" แต่สิ่งที่ได้กลับมาก็คือประสาทสัมผัสอย่างอื่นที่เฉียบคมขึ้น... """;Ch4_D06_13;;;;Dialogue;;
Ch4_D06_13;เด็กสาว;Director's daughter_normal;""" ดังนั้นถ้าเกิดผู้อำนวยการโผล่มาละก็..พี่ห้ามขยับ..แม้แต่นิดเดียว  """;Ch4_D06_14;;;;Dialogue;;
Ch4_D06_14;เด็กสาว;Director's daughter_normal;""" ไม่งั้นก็โดนเจอตัวแน่คะ...แต่ถ้าเผลอขยับละก็..รีบวิ่งหนีไปที่อื่นอาจจะมีโอกาสรอดก็ได้ """;Ch4_D06_15;;;;Dialogue;;
Ch4_D06_15;เด็กสาว;Director's daughter_normal;หนูให้คำแนะนำได้แค่นี้ล่ะคะ...;Ch4_D06_16;;;;Dialogue;;
Ch4_D06_16;เด็กสาว;Director's daughter_smile;ขอให้โชคดีกับการเดินทางครั้งสุดท้ายนะ..พี่สาว...;;;;;Dialogue;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;เดินไปถึงจุดบ่อน้ำ;;;;;;;
;;;;;;;;;;
Ch4_D07_01;อเมเลีย;CutSceneOp3_11;ฮึบ!!!;Ch4_D07_02;;;;CutScene;;
Ch4_D07_02;อเมเลีย;CutSceneS7_1;....;Ch4_D07_03;;;;CutScene;;
Ch4_D07_03;บรรยาย;CutSceneS7_1;ร่างกายของหญิงสาวค่อยๆจมลงไปในบ่อน้ำเรื่อยๆ....;Ch4_D07_04;;;;CutScene;;
Ch4_D07_04;อเมเลีย;CutSceneS7_2;หายใจไม่ออก...ขยับร่างกายไม่ได้เลย...;Ch4_D07_05;;;;CutScene;;
Ch4_D07_05;อเมเลีย;CutSceneS7_2;นะ...นี้คือ..ทางออก..จริงงั้นหรือ....;Ch4_D07_06;;;;CutScene;;
Ch4_D07_06;อเมเลีย;CutSceneS7_3;สะ..สติ..เริ่ม..ไม่..หะ;Ch4_D07_07;;;;CutScene;;
Ch4_D07_07;อเมเลีย;CutSceneS7_4;ไหว...แล้ว..;Ch4_D07_08;;;;CutScene;;
Ch4_D07_08;อเมเลีย;CutSceneS7_5;..ค..คุณ...;Ch4_D07_09;;;;CutScene;;
Ch4_D07_09;อเมเลีย;CutSceneOp3_11;คุณแม่....;Ch4_D07_10;;;;CutScene;;
Ch4_D07_10;อเมเลีย;CutSceneOp3_11;...;Ch4_D07_11;;;;CutScene;;
Ch4_D07_11;อเมเลีย;CutSceneOp3_11;..;Ch4_D07_12;;;;CutScene;;
Ch4_D07_12;อเมเลีย;CutSceneOp3_11;.;Ch4_D07_13;;;;CutScene;;
Ch4_D07_13;เด็กสาว;CutSceneOp3_11;ไม่เป็นไรนะพี่สาว..ทุกอย่างจะโอเคร..;Ch4_D07_14;;;;CutScene;;
Ch4_D07_14;อเมเลีย;CutSceneOp3_11;..ธะ...เธอ...;Ch4_D07_15;;;;CutScene;;
Ch4_D07_15;อเมเลีย;CutSceneOp3_11;....;Ch4_D07_16;;;;CutScene;;
Ch4_D07_16;อเมเลีย;CutSceneOp3_11;..;Ch4_D07_17;;;;CutScene;;
Ch4_D07_17;อเมเลีย;CutSceneOp3_11;.;Ch4_D07_18;;;;CutScene;;
Ch4_D07_18;เด็กสาว;CutSceneS7_6; ฮืมม~;Ch4_D07_19;;;;CutScene;;
Ch4_D07_19;เด็กสาว;CutSceneS7_7;ความสุข ความสนุก ความสุขใจ ความเศร้าใจ....;Ch4_D07_20;;;;CutScene;;
Ch4_D07_20;เด็กสาว;CutSceneS7_7;ความโกรธและความทุกข์สัมผัสรวมกัน...;Ch4_D07_21;;;;CutScene;;
Ch4_D07_21;เด็กสาว;CutSceneS7_7;ไม่ใช่การจากลาแต่มาพบกันใหม่ในวันพรุ่งนี้...;Ch4_D07_22;;;;CutScene;;
Ch4_D07_22;เด็กสาว;CutSceneS7_8;หืม..อ่า!!..ในที่สุดพี่สาวก็ตื่นแล้วสินะ...วิวทิวทัศน์ยามที่พระอาทิตย์ขึ้น..มันสวยจริงๆด้วย...;Ch4_D07_23;;;;CutScene;;
Ch4_D07_23;เด็กสาว;CutSceneS7_8;ขอบคุณนะพี่สาว..ที่ช่วยให้ความฝันหนูเป็นจริงนะ;Ch4_D07_24;;;;CutScene;;
Ch4_D07_24;เด็กสาว;CutSceneS7_8;ถ้าเกิดมีโอกาสได้เจอกันอีกครั้งละก็...ช่วยพาหนูไปเที่ยวกันอีกเยอะๆเลยนะ!!!;Ch4_D07_25;;;;CutScene;;
Ch4_D07_25;เด็กสาว;CutSceneS7_8;พี่อเมเลีย!!;Ch4_D07_26;;;;CutScene;;
Ch4_D07_26;อเมเลีย;CutSceneS7_9;...;Ch4_D07_27;;;;CutScene;;
Ch4_D07_27;อเมเลีย;CutSceneS7_9;ทุกอย่างจบแล้วสินะ...เหนื่อยจัง..ระ...รู้สึกขอบตาเริ่มหนักขึ้นเรื่อยๆ...;Ch4_D07_28;;;;CutScene;;
Ch4_D07_28;อเมเลีย;CutSceneS7_9;แต่..ไว้เจอกันใหม่กันนะ...เพือนของฉัน...;Ch4_D07_29;;;;CutScene;;
Ch4_D07_29;อเมเลีย;CutSceneS7_9;.......;Ch4_D07_30;;;;CutScene;;
Ch4_D07_30;???;CutSceneS7_9;อ่ะ!!! เจอตัวเด็กนักเรียนที่หายไปแล้วครับ!!!;Ch4_D07_31;;;;CutScene;;
Ch4_D07_31;???;CutSceneS7_9;รบกวนช่วยส่งรถพยาบาลมาที่ชายหาดบริเวณทางตอนใต้ของเกาะที่ครับ!!!;Ch4_D07_32;;;;CutScene;;
Ch4_D07_32;อเมเลีย;CutSceneS7_9;....;Ch4_D07_33;;;;CutScene;;
Ch4_D07_33;อเมเลีย;CutSceneS7_9;หลังจากเหตุการณ์นั้น...อควาเรียม Liberate ก็ประสบพบเจอปัญหามากมาย...;Ch4_D07_34;;;;CutScene;;
Ch4_D07_34;อเมเลีย;CutSceneS7_9;ทั้งภัยธรรมชาติ..อุบัติเหตุและการก่อสร้างที่ไม่ราบรื่น...ร่วมไปถึง...;Ch4_D07_35;;;;CutScene;;
Ch4_D07_35;อเมเลีย;CutSceneS7_9;ข่าวดำมืดมากมายได้ถูกเปิดเผยออกมามากมาย...ทั้งเหตุการณ์การฉ่อโกง..ฆาตกกรมมากมาย;;;;;CutScene;;
Ch4_D07_36;อเมเลีย;CutSceneS7_9;ซึ่งผมศพมากมายใต้อควาเรียมแห่งนี้...ร่วมถึงร่างเด็กสาวปริศนาคนหนึ่งด้วย...;;;;;;;
